Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/analytics/wla?workspace_id=ws-bd712406,1,0,6.128400011220947,6.128400011220947,6.128400011220947,6.128400011220947,306.0,0.03385002476869071,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/analytics/wla?workspace_id=ws-bf136f06,3,0,17,237.35506666222742,7.199399988166988,687.4949000048218,306.0,0.10155007430607213,0.0,17,17,690,690,690,690,690,690,690,690,690
GET,/analytics/wla?workspace_id=ws-c0ceab4b,4,0,23,162.56202499425854,6.8681999982800335,595.9962999913841,306.0,0.13540009907476283,0.0,24,24,600,600,600,600,600,600,600,600,600
GET,/analytics/wla?workspace_id=ws-c56212cf,3,0,600,532.3158666675832,9.369999999762513,985.2339000062784,306.0,0.10155007430607213,0.0,600,600,990,990,990,990,990,990,990,990,990
GET,/analytics/wla?workspace_id=ws-c87421f9,2,0,9,9.700700000394136,8.949399998527952,10.45200000226032,306.0,0.06770004953738142,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/analytics/wla?workspace_id=ws-cb63a320,1,0,9.432299993932247,9.432299993932247,9.432299993932247,9.432299993932247,306.0,0.03385002476869071,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/analytics/wla?workspace_id=ws-cd2582f4,1,0,6.656300000031479,6.656300000031479,6.656300000031479,6.656300000031479,306.0,0.03385002476869071,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/analytics/wla?workspace_id=ws-ce242896,3,0,7,6.750799996855979,5.153099991730414,7.8622000000905246,306.0,0.10155007430607213,0.0,7,7,8,8,8,8,8,8,8,8,8
GET,/analytics/wla?workspace_id=ws-dc1834a3,3,0,6.338399995001964,13.217399997908311,6.338399995001964,26.946300000417978,306.0,0.10155007430607213,0.0,6,6,27,27,27,27,27,27,27,27,27
GET,/analytics/wla?workspace_id=ws-e3959602,1,0,5.5235000036191195,5.5235000036191195,5.5235000036191195,5.5235000036191195,306.0,0.03385002476869071,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/analytics/wla?workspace_id=ws-f285eb1c,1,0,5.7410000008530915,5.7410000008530915,5.7410000008530915,5.7410000008530915,306.0,0.03385002476869071,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/analytics/wla?workspace_id=ws-fe39d105,1,0,69.65959999070037,69.65959999070037,69.65959999070037,69.65959999070037,306.0,0.03385002476869071,0.0,70,70,70,70,70,70,70,70,70,70,70
GET,/context/feed?workspace_id=ws-04d153a1,1,0,9.175300001516007,9.175300001516007,9.175300001516007,9.175300001516007,2.0,0.03385002476869071,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/context/feed?workspace_id=ws-06ec755c,2,0,10,301.09559999982594,9.739700006321073,592.4514999933308,140.0,0.06770004953738142,0.0,590,590,590,590,590,590,590,590,590,590,590
GET,/context/feed?workspace_id=ws-07098149,1,0,5.285499995807186,5.285499995807186,5.285499995807186,5.285499995807186,2.0,0.03385002476869071,0.0,5,5,5,5,5,5,5,5,5,5,5
